Lift Capacity,Number of floors,Number of lifts,Lift speed,Lift Strategy,Call Strategy,Call Frequency,Lift Stop Time,Usage Rate
9,64,10,9,0,0,68,1,alto
5,90,10,11,1,1,90,1,alto
10,148,22,14,0,0,195,2,medio
14,180,19,15,0,1,59,1,alto
6,86,12,10,0,0,152,2,baixo
13,146,14,11,2,0,84,1,alto
11,76,15,9,1,0,34,1,baixo
8,185,19,18,1,1,172,2,alto
5,109,17,11,2,1,123,2,baixo
6,106,11,10,1,1,63,1,alto
13,150,16,14,1,0,37,3,medio
14,174,34,15,2,1,39,1,medio
6,132,20,13,2,1,84,1,medio
11,198,22,20,0,0,161,3,medio
10,59,7,9,2,0,63,2,alto
5,79,12,12,1,1,64,1,alto
8,164,30,12,1,0,182,3,baixo
7,169,18,14,0,1,172,1,alto
6,200,33,17,1,1,45,4,medio
8,172,22,15,0,1,176,2,medio
7,194,32,17,2,0,30,1,baixo
15,76,10,10,0,0,178,1,baixo
6,144,25,16,1,1,112,1,medio
11,177,28,17,1,1,165,3,alto
15,69,11,10,2,1,84,2,alto
11,197,23,19,0,0,121,4,alto
14,72,14,10,0,0,89,1,medio
15,169,30,17,2,0,154,3,baixo
8,82,16,9,1,1,141,1,baixo
5,145,25,13,1,0,51,3,baixo
10,87,11,12,2,1,182,2,medio
15,129,13,13,2,1,100,2,alto
12,150,17,16,0,0,152,4,alto
12,71,12,10,0,1,164,1,baixo
8,152,21,12,1,1,54,1,baixo
13,50,10,10,0,0,36,1,baixo
13,135,19,12,1,0,60,3,medio
7,71,11,10,0,0,37,1,baixo
15,173,28,16,0,1,178,4,alto
13,156,29,12,0,1,196,1,alto
6,143,27,16,0,0,192,2,baixo
6,67,11,10,2,0,71,1,alto
14,196,19,13,0,0,117,1,medio
15,125,20,12,1,0,194,1,baixo
10,142,21,12,0,1,163,1,medio
10,155,21,16,2,1,100,2,alto
8,171,25,15,0,1,98,3,alto
7,193,35,18,2,1,129,2,alto
5,81,14,9,1,0,80,2,alto
12,98,17,11,2,0,126,2,medio
5,91,12,12,2,1,113,1,medio
14,63,11,10,2,1,183,1,baixo
6,123,17,11,0,1,55,1,alto
11,82,9,10,0,1,54,1,alto
8,129,16,15,0,0,94,1,alto
14,182,26,16,1,0,180,3,baixo
10,172,33,17,0,0,81,3,medio
6,153,28,12,2,1,52,3,medio
8,87,13,10,0,0,162,1,baixo
5,105,10,13,1,0,120,2,alto
9,133,14,11,2,0,49,2,medio
8,141,24,14,1,0,167,1,baixo
9,132,17,11,0,1,140,1,alto
11,66,10,11,2,1,109,1,alto
12,142,20,16,0,1,147,3,alto
9,110,15,13,2,0,124,2,medio
13,189,37,13,0,1,89,1,medio
15,72,9,9,0,1,106,2,alto
13,109,13,12,0,1,150,2,medio
8,100,20,11,2,1,186,1,baixo
8,110,12,13,0,1,58,2,alto
6,124,19,14,2,0,110,2,alto
10,53,8,8,0,1,53,2,alto
14,101,18,12,0,0,37,3,baixo
12,89,12,10,1,1,198,1,baixo
15,198,31,13,0,0,165,3,baixo
14,91,18,12,1,1,33,2,baixo
7,154,21,12,1,0,179,3,baixo
15,171,21,18,2,0,179,3,medio
12,84,15,9,1,1,105,2,medio
15,185,30,18,1,1,151,4,alto
7,96,17,12,2,0,144,1,baixo
10,168,22,13,0,0,109,1,medio
15,149,14,16,2,0,102,1,alto
8,83,11,12,1,0,49,1,alto
15,76,15,10,2,1,196,1,baixo
10,131,14,11,0,0,117,1,medio
6,188,34,18,1,0,96,1,baixo
8,153,15,15,0,1,127,3,alto
12,91,12,11,0,0,133,1,medio
10,51,10,9,0,0,57,1,alto
13,177,26,15,0,0,68,2,baixo
15,183,21,14,1,1,42,2,baixo
5,127,25,12,0,0,142,1,baixo
10,163,27,12,0,1,98,2,medio
13,80,15,10,1,0,76,1,alto
5,196,21,15,1,1,158,3,alto
15,120,24,12,2,0,70,2,baixo
10,139,21,15,0,1,192,1,baixo
5,163,29,13,0,0,87,3,baixo
13,100,16,12,0,1,120,3,alto
8,76,11,11,2,0,49,1,alto
14,131,18,11,2,0,162,1,baixo
13,53,5,8,2,1,68,2,alto
5,109,20,12,2,1,153,2,baixo
5,165,33,15,2,0,148,2,baixo
11,153,17,17,1,1,82,2,alto
12,169,23,14,2,1,116,2,alto
6,102,20,12,1,0,99,3,medio
11,173,31,17,0,1,92,3,medio
12,68,12,11,0,1,163,2,medio
14,146,16,12,1,0,25,2,baixo
5,135,15,12,0,1,37,2,medio
14,127,13,13,1,0,114,2,alto
14,190,29,16,1,0,58,3,baixo
11,93,9,12,0,1,129,2,alto
7,72,13,11,1,0,66,1,alto
11,106,18,12,0,0,151,2,baixo
6,56,9,9,2,1,93,1,medio
7,195,35,14,0,0,32,1,medio
7,159,19,12,1,1,91,1,alto
12,191,33,17,1,1,107,2,alto
10,131,20,11,1,0,112,1,medio
8,187,26,15,1,0,171,2,baixo
14,142,18,13,2,0,143,2,medio
9,182,28,18,2,0,82,3,baixo
15,112,22,11,0,0,130,1,baixo
8,77,14,10,0,0,98,2,baixo
11,81,15,10,1,1,117,1,baixo
7,184,36,15,2,1,65,3,medio
7,108,12,12,0,0,167,1,medio
7,78,10,9,0,1,49,2,medio
9,59,10,10,1,0,77,2,alto
11,73,8,10,0,1,162,2,medio
9,134,13,14,0,1,45,1,alto
14,160,17,16,0,0,181,1,medio
5,180,18,18,0,0,77,3,alto
7,81,9,11,0,0,140,1,medio
13,53,8,10,0,0,85,1,alto
9,99,10,10,1,1,65,1,alto
5,145,14,15,2,0,48,1,alto
9,169,21,14,2,1,127,1,medio
8,198,31,14,0,0,113,1,baixo
14,197,21,15,2,0,151,2,medio
8,79,13,11,2,0,105,2,medio
6,101,18,11,1,0,186,1,baixo
10,191,21,19,1,0,113,3,alto
13,76,15,12,1,1,47,2,baixo
11,95,19,13,1,0,178,2,baixo
10,115,20,10,2,1,182,2,baixo
7,66,7,10,1,0,95,1,alto
13,97,17,10,0,0,33,1,baixo
5,120,19,13,2,1,111,2,medio
11,190,31,13,0,1,185,2,medio
14,114,15,14,1,1,52,2,medio
11,127,16,13,1,1,120,3,alto
5,153,27,13,2,0,116,2,medio
14,151,28,13,2,0,57,2,baixo
9,123,19,13,0,0,147,1,baixo
12,113,13,10,1,0,131,1,baixo
10,122,13,12,0,1,130,1,alto
10,180,34,14,2,1,96,3,medio
12,112,21,10,2,0,33,2,baixo
13,66,11,9,0,0,111,2,medio
5,174,34,15,0,1,153,3,medio
12,64,9,11,0,0,44,2,medio
8,153,25,17,2,1,92,2,alto
12,98,18,13,2,1,61,3,medio
10,181,34,13,2,1,150,2,medio
6,96,10,13,1,1,121,1,alto
10,151,30,13,0,1,115,3,medio
9,118,16,10,1,0,178,2,baixo
10,148,24,13,2,1,71,2,medio
6,200,28,16,2,0,168,3,baixo
10,175,19,12,1,0,102,2,alto
11,157,29,16,1,0,193,4,baixo
7,96,15,13,2,0,176,1,baixo
6,151,16,16,1,0,50,1,alto
7,119,18,13,2,1,47,2,medio
11,124,13,15,1,0,171,3,alto
14,184,35,17,0,1,83,4,medio
14,98,12,12,0,1,34,1,medio
12,182,32,13,0,1,124,3,medio
9,147,18,14,2,0,193,1,medio
5,121,19,12,0,1,176,2,medio
12,114,14,11,0,0,35,1,baixo
9,122,19,13,1,1,175,3,baixo
7,165,24,13,1,1,83,1,medio
8,137,24,12,1,0,140,1,baixo
8,116,23,11,1,1,136,2,baixo
8,169,26,14,0,0,164,3,medio
5,177,17,16,0,0,143,1,alto
11,95,11,12,0,1,106,3,alto
14,52,6,8,0,1,110,1,medio
6,141,15,14,0,1,38,3,alto
9,165,27,12,2,1,71,3,baixo
9,125,13,12,2,0,35,1,alto
8,162,27,17,0,0,87,2,medio
9,146,20,16,1,0,116,2,alto
12,53,8,10,2,0,76,2,alto
8,117,12,10,1,0,118,2,alto
11,60,9,11,1,0,137,1,medio
13,142,15,15,0,0,161,1,medio
13,54,5,10,0,0,42,1,alto
6,172,17,15,0,0,40,1,medio
14,166,31,13,1,0,43,1,baixo
13,180,21,15,2,1,41,3,medio
7,144,24,13,2,1,116,2,medio
15,173,23,16,1,1,173,2,alto
15,74,14,10,0,0,92,1,medio
12,60,8,9,1,0,124,1,medio
7,180,19,16,1,1,39,2,alto
10,188,23,15,0,0,55,1,medio
6,71,7,9,1,1,50,1,alto
10,102,20,11,1,1,116,2,medio
9,185,37,17,0,0,28,1,baixo
5,114,12,11,0,1,60,2,alto
6,122,18,13,0,0,190,2,baixo
5,105,17,10,2,0,88,1,medio
11,124,21,13,0,0,39,1,baixo
7,186,23,13,1,0,158,3,medio
5,81,11,10,1,0,72,2,alto
10,74,14,9,0,0,121,2,baixo
6,87,16,12,2,1,114,3,medio
9,125,15,15,2,1,76,1,alto
15,170,19,13,0,0,195,3,baixo
7,59,9,10,0,1,177,1,baixo
7,109,19,11,0,0,116,2,baixo
8,186,31,16,1,1,131,2,medio
11,85,12,9,2,1,65,2,alto
14,62,9,10,0,1,50,2,alto
8,78,15,9,2,0,129,2,baixo
8,130,16,15,1,0,77,2,alto
15,61,12,10,0,0,153,1,baixo
10,176,19,18,0,1,68,1,alto
14,104,13,12,0,0,79,2,alto
14,58,10,8,0,1,68,2,alto
7,136,22,12,0,1,139,1,alto
13,174,33,13,2,1,90,3,medio
8,146,17,16,2,0,160,4,medio
14,123,12,12,1,1,51,2,alto
11,179,32,15,1,0,154,2,baixo
12,135,25,11,1,1,97,1,medio
10,153,19,12,0,0,29,3,baixo
8,163,28,16,1,1,82,2,medio
15,66,11,10,1,0,165,2,baixo
13,187,27,16,0,0,145,2,medio
7,55,11,10,2,0,195,2,baixo
15,112,19,11,0,1,126,1,medio
8,57,9,9,0,1,117,1,medio
10,178,19,18,2,0,186,3,medio
13,127,20,12,0,1,199,2,medio
14,77,12,12,0,0,117,3,medio
10,196,26,20,1,0,142,4,alto
7,57,9,9,1,0,184,1,baixo
8,141,18,16,1,0,81,3,alto
13,135,20,13,1,1,93,3,medio
15,168,19,16,2,1,199,1,medio
13,176,34,17,1,0,99,3,baixo
10,152,20,12,0,0,80,3,medio
7,91,10,11,2,1,65,2,alto
7,182,28,16,1,1,58,4,alto
8,106,17,11,0,1,129,2,medio
10,190,31,15,0,1,152,2,medio
9,120,24,14,0,0,117,3,medio
10,65,10,9,2,0,126,2,medio
5,169,25,13,1,0,27,2,baixo
14,197,26,13,0,1,147,1,medio
10,177,27,13,2,1,34,2,baixo
9,79,12,10,2,1,164,1,baixo
15,180,26,14,1,0,154,3,baixo
14,145,22,16,2,0,107,2,alto
13,63,7,10,0,1,69,1,alto
9,180,30,13,0,1,161,2,medio
10,62,6,11,1,0,126,1,alto
10,188,36,19,2,1,50,2,alto
15,86,15,11,1,1,180,2,baixo
15,81,16,12,0,1,105,2,medio
8,109,13,14,2,0,199,1,medio
10,66,8,9,1,1,142,2,medio
6,134,26,14,1,0,101,1,baixo
8,180,32,14,0,0,193,1,baixo
7,128,20,13,0,0,129,2,medio
13,136,16,14,1,1,93,2,alto
8,171,22,14,1,1,199,3,medio
9,53,9,9,1,1,191,1,baixo
15,170,33,12,0,1,189,3,medio
9,159,16,12,2,1,127,1,alto
9,86,15,10,1,1,45,2,baixo
12,57,7,10,1,0,193,2,medio
14,56,6,9,1,0,32,1,medio
15,132,26,14,2,0,163,3,baixo
14,86,15,11,2,1,108,2,medio
6,134,24,14,0,0,124,1,medio
11,50,8,8,2,0,152,2,baixo
6,158,27,17,0,0,83,2,medio
8,73,7,10,1,1,152,2,medio
5,74,8,11,0,0,189,2,medio
9,145,28,11,0,0,100,1,medio
12,108,14,12,1,1,179,1,baixo
7,66,9,11,2,1,77,2,alto
6,200,36,14,2,0,71,3,medio
10,107,13,13,1,1,200,1,medio
7,156,21,12,2,0,145,1,medio
6,159,19,17,2,1,121,3,alto
12,91,10,10,2,1,116,1,medio
7,87,8,10,2,1,90,1,alto
12,180,21,13,2,1,182,1,baixo
11,187,29,17,1,1,178,4,baixo
9,129,19,13,2,0,81,3,medio
13,187,31,14,2,1,120,2,medio
9,89,11,9,0,0,155,1,medio
13,143,24,14,1,1,190,3,medio
9,188,21,18,0,0,111,2,alto
15,150,17,16,2,1,57,1,alto
14,67,13,9,2,0,113,2,baixo
14,68,12,10,0,1,194,1,baixo
15,163,27,16,1,1,49,4,baixo
11,122,15,11,0,1,46,1,alto
14,168,18,17,0,1,105,1,alto
7,198,28,19,1,0,31,2,baixo
12,117,23,14,1,1,119,2,medio
9,193,32,17,1,1,171,3,medio
14,81,14,12,1,0,99,2,alto
14,124,18,15,0,0,32,3,baixo
7,190,25,14,0,0,61,3,baixo
12,180,36,16,1,0,59,3,baixo
6,144,17,16,1,1,178,4,medio
8,68,13,9,2,1,143,2,baixo
12,115,23,13,2,0,54,2,baixo
8,110,16,14,2,0,67,2,alto
11,200,37,20,0,0,122,5,medio
8,87,15,12,2,1,164,2,medio
6,195,26,18,0,1,103,1,alto
11,173,20,16,1,1,74,4,alto
9,56,7,10,0,1,70,2,alto
9,148,16,13,1,0,132,2,alto
10,62,12,10,2,1,48,2,baixo
9,117,13,12,2,1,142,2,medio
14,51,7,9,2,1,101,2,medio
13,119,11,10,1,1,149,1,alto
9,70,11,11,1,1,199,1,baixo
8,192,23,13,1,1,109,2,alto
14,102,20,10,1,1,46,1,baixo
14,65,11,9,1,1,28,2,baixo
5,180,26,16,0,1,86,2,alto
14,67,8,11,2,0,36,2,medio
11,57,8,10,0,1,106,2,medio
14,108,13,10,0,1,87,1,alto
13,188,36,18,2,1,189,1,medio
10,178,30,12,0,1,64,2,alto
8,77,9,10,1,1,108,2,medio
10,147,22,13,2,0,85,2,medio
11,187,30,15,1,1,180,2,alto
12,125,23,13,1,0,136,2,baixo
6,188,21,15,1,0,183,2,medio
6,197,30,19,0,1,200,1,medio
13,53,8,8,2,0,30,2,baixo
11,106,20,10,2,0,89,1,baixo
8,136,23,14,1,1,53,3,medio
5,117,15,13,2,0,39,1,baixo
10,61,10,9,1,0,143,1,baixo
8,176,23,13,2,1,193,1,baixo
15,169,23,14,2,0,91,1,medio
14,190,36,18,0,1,114,3,alto
12,132,13,13,1,0,128,3,alto
12,193,21,13,2,1,44,3,medio
13,167,23,13,2,1,26,1,baixo
6,196,31,18,2,1,178,3,medio
12,102,14,11,0,1,135,1,medio
15,172,34,16,2,1,119,2,alto
8,138,25,13,1,1,174,3,medio
7,177,33,18,2,1,55,2,alto
8,189,29,15,2,0,180,3,baixo
15,80,13,9,2,1,139,1,baixo
7,108,18,12,2,1,43,1,medio
14,114,18,10,0,0,83,2,medio
6,168,33,15,0,1,61,2,medio
8,165,32,18,2,1,151,3,alto
12,121,19,12,2,0,55,2,baixo
8,126,18,13,2,0,135,1,medio
10,73,12,11,0,0,67,2,alto
7,75,11,10,2,1,133,1,medio
10,80,16,9,0,0,174,2,baixo
7,92,12,11,1,1,119,1,alto
15,176,34,17,2,0,46,3,baixo
5,99,12,13,1,0,80,2,alto
11,197,22,13,0,0,152,3,baixo
8,96,15,11,2,0,118,1,medio
9,156,21,12,0,1,33,2,medio
15,55,10,10,2,0,52,1,alto
7,118,14,11,1,0,59,1,alto
14,111,22,14,0,1,146,1,alto
14,61,6,9,2,0,150,2,medio
5,60,8,10,2,1,88,1,alto
15,120,15,15,0,0,45,2,medio
7,191,24,13,0,0,184,3,baixo
12,118,23,10,1,0,112,1,baixo
14,183,22,15,0,0,52,2,medio
8,187,22,17,1,0,60,4,baixo
7,165,19,14,1,1,58,2,alto
14,161,28,15,0,1,59,2,medio
9,168,27,16,1,0,182,3,baixo
10,140,19,14,0,0,103,1,alto
12,130,15,14,2,0,154,1,alto
11,50,10,8,1,0,94,2,baixo
12,112,15,13,1,1,189,3,baixo
12,185,32,19,1,0,147,4,baixo
15,165,33,15,1,0,126,1,baixo
9,156,20,14,0,0,31,1,baixo
11,162,21,17,2,0,72,3,alto
14,146,19,15,1,0,151,1,medio
12,63,12,11,1,1,183,2,baixo
9,167,18,17,2,0,27,3,baixo
15,104,12,12,1,1,176,3,medio
6,87,15,9,2,0,51,2,baixo
11,90,12,12,0,0,102,2,alto
7,100,18,10,1,0,92,2,medio
14,161,28,12,1,1,82,2,medio
13,106,13,10,0,0,125,1,medio
7,160,22,13,0,1,177,1,medio
15,191,29,14,1,0,104,3,medio
6,160,21,13,0,1,118,2,alto
12,151,24,15,2,0,149,3,baixo
14,62,6,10,0,0,187,2,medio
9,64,11,9,1,1,48,1,baixo
6,128,19,11,1,0,153,2,baixo
14,130,19,15,1,0,79,3,alto
15,89,16,10,1,1,71,1,medio
10,200,28,15,1,0,164,3,baixo
12,56,7,8,0,0,53,1,alto
6,56,6,8,1,1,175,2,baixo
7,128,13,11,1,0,170,2,medio
13,150,29,13,0,0,78,3,baixo
11,187,36,18,0,0,143,4,medio
9,69,10,11,0,1,112,2,medio
8,187,19,16,0,1,178,1,medio
7,168,33,12,2,0,54,2,baixo
12,53,6,8,0,0,104,2,alto
5,85,17,11,2,1,37,2,baixo
9,159,22,16,0,1,68,3,medio
8,133,24,13,0,1,160,3,baixo
9,82,12,10,0,1,33,1,medio
5,124,13,11,1,1,111,1,alto
8,81,13,10,2,1,162,1,baixo
